scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0211,39,196,0.1989795918367347,0.29236558079719543,0.2972593903541565,0.09697190672159195,-0.02646360546350479,0.4734383821487427,0.17469866573810577,0.3965680003166199
ground_rot_45,scene_0212,32,196,0.16326530612244897,0.2677721679210663,0.26713353395462036,0.13380204141139984,0.02612052485346794,0.5857305526733398,0.08010866492986679,0.3947901427745819
ground_rot_45,scene_0213,7,196,0.03571428571428571,0.40237781405448914,0.3813217282295227,0.08670470118522644,0.28070545196533203,0.5606321096420288,0.3158816993236542,0.5166860222816467
ground_rot_45,scene_0214,19,196,0.09693877551020408,0.2927124500274658,0.31050699949264526,0.08798328042030334,0.14770172536373138,0.5055274963378906,0.16945141553878784,0.38199514150619507
ground_rot_45,scene_0215,43,196,0.2193877551020408,0.36504659056663513,0.3884831368923187,0.12119805812835693,0.0835343450307846,0.5791103839874268,0.21632270514965057,0.5130572319030762
ground_rot_45,scene_0216,46,196,0.23469387755102042,0.2667382061481476,0.28054606914520264,0.11075735837221146,0.0071975067257881165,0.48220762610435486,0.12186751514673233,0.4146127700805664
ground_rot_45,scene_0217,46,196,0.23469387755102042,0.3309820294380188,0.34393417835235596,0.12102969735860825,0.0239073745906353,0.5916956663131714,0.1720385104417801,0.4582606852054596
ground_rot_45,scene_0218,29,196,0.14795918367346939,0.20478826761245728,0.18215373158454895,0.13356144726276398,-0.03302011638879776,0.43648895621299744,0.03674519807100296,0.3732330799102783
ground_rot_45,scene_0219,15,196,0.07653061224489796,0.35783320665359497,0.34549951553344727,0.11947645992040634,0.13980019092559814,0.6210393905639648,0.22746708989143372,0.4933561682701111
ground_rot_45,scene_0220,22,196,0.11224489795918367,0.3015674352645874,0.2941928803920746,0.09800247102975845,0.08062624931335449,0.4778667092323303,0.20348040759563446,0.4348718822002411
ground_rot_45,scene_0221,14,196,0.07142857142857142,0.26834121346473694,0.23387408256530762,0.11752722412347794,0.0981709212064743,0.4853516221046448,0.1284683346748352,0.43372124433517456
ground_rot_45,scene_0222,25,196,0.12755102040816327,0.2511465549468994,0.25955066084861755,0.08894295990467072,-0.024315766990184784,0.4072134494781494,0.17176958918571472,0.3631904125213623
ground_rot_45,scene_0223,35,196,0.17857142857142858,0.30793583393096924,0.30160993337631226,0.09466937184333801,0.08721582591533661,0.49818965792655945,0.20100317895412445,0.42118024826049805
